BAS.INSTNAMEENGL;STUD.TOTALISCED5-7
Macromedia University of Applied Sciences;5192
Munich Business School München (Priv. FH);613
Evangelische Hochschule Nürnberg (FH);1211
Katholische Stiftungsfachhochschule München;2401
Alice Salomon Hochschule Berlin;4313
Beuth University of Applied Sciences;12197
Berlin University of Applied Sciences;14523
Berlin School of Economics and Law;12484
bbw University of Applied Sciences;826
Hochschule für Gesundheit und Sport Berlin (Priv. FH);2081
IB-Hochschule Berlin (Priv. FH);626
Mediadesign University of Applied Sciences;720
SRH University Berlin;2850
Protestant Fachhochschule Berlin;1678
Catholic University for Applied Sciences Berlin;1220
Brandenburg University of Applied Sciences;3303
University of Applied Sciences in Eberswalde;2297
Potsdam University of Applied Sciences;3688
Technical University of Applied Sciences Wildau;3315
City University of Applied Sciences Bremen;8602
University of Applied Sciences Bremerhaven;2770
University of Applied Sciences Apollon;3735
Hamburg University of Applied Sciences;16349
Europäische FernHochschule Hamburg GmbH Hamburg (Priv. FH);10034
HFH Hamburger Fern-Hochschule (Priv. FH);14426
HSBA Hamburg School of Business Administration (Priv. FH);967
Evangelische Hochschule für Soziale Arbeit und Diakonie, Hamburg (FH);763
Darmstadt University of Applied Sciences;14377
Frankfurt University of Applied Sciences;15038
Fulda University of Applied Sciences;8676
Technische Hochschule Mittelhessen;15792
RheinMain University of Applied Sciences;12265
;533
accadis Hochschule Bad Homburg (Priv. FH);496
Wilhelm Büchner Hochschule Darmstadt (Priv. Fern-FH);4802
Provadis School of International Management and Technology, Frankfurt a.M. (Priv. FH);895
Fresenius University Applied Sciences;16049
DIPLOMA Hochschule;6283
Protestant University of Applied Sciences Darmstadt;1309
Neubrandenburg University of Applied Sciences;1956
Stralsund University of Applied Sciences;1959
Wismar University of Applied Sciences Technology, Business and Design;7599
Ostfalia University of Applied Sciences;10035
Hannover University of Applied Sciences and Arts;8632
University of Applied Sciences and Arts Hildesheim/Holzminden/Göttingen;6130
Osnabrück University of Applied Sciences;12839
Hochschule 21, Buxtehude (Priv. FH);1030
PFH – Private University of Applied Sciences;4145
University of Applied Sciences in Hannover;594
