ETER_ID,English_Institution_Name,Institution_Name,Reference_year,Country_Code,Name_of_the_city,Total_Current_revenues_(EURO),Basic_government_allocation_(EURO),Student_fees_funding_(EURO),Total_third_party_funding_(EURO),Personnel_expenditure_(EURO),R&D_Expenditure_(EURO),Total_students_enrolled_ISCED_5_7,Total_graduates_ISCED_5_7,Total_graduates_at_ISCED_8,Name,Overall SCORE,AR SCORE,ER SCORE,FSR SCORE,CPF SCORE,IFR SCORE,ISR SCORE,EO SCORE,SUS SCORE,Rank,Size,Focus,Research,Status,graduation_rate
GR0018,University of Ioannina,Πανεπιστήμιο Ιωαννίνων,2020,GR,Ioannina,,,,,,,27794.0,3039.0,98.0,University of Ioannina,,9.4,5.6,1.9,32.0,2.0,7.5,3.6,36.5,1001-1200,XL,FC,HI,,0.10934014535511262
GR0020,National and Kapodistrian University of Athens,Εθνικό και Καποδιστριακό Πανεπιστήμιο Αθηνών,2020,GR,Athens,,,,,,,104592.0,10282.0,403.0,National and Kapodistrian University of Athens,38.4,34.9,38.9,3.0,45.1,12.7,27.2,88.9,64.3,390,XL,FC,VH,Public,0.09830579776655958
GR0021,Aristotle University of Thessaloniki,Αριστοτέλειο Πανεπιστήμιο Θεσσαλονίκης,2020,GR,Thessaloniki,,,,,,,88413.0,9502.0,565.0,Aristotle University of Thessaloniki,32.9,38.2,35.9,6.4,28.4,2.1,8.1,48.3,66.4,485,XL,FC,VH,Public,0.10747288294707792
HR0004,University of Rijeka,Sveučilište u Rijeci,2020,HR,Rijeka,,,,,,,15214.0,3463.0,57.0,University of Rijeka,,7.3,8.4,17.0,8.7,2.8,5.8,15.3,42.4,1201-1400,L,CO,VH,Public,0.2276192980149862
HR0005,University of Split,Sveučilište u Splitu,2020,HR,Split,,,,,,,18049.0,3583.0,44.0,University of Split,,7.6,9.2,8.7,8.8,1.6,3.3,22.4,44.8,1201-1400,L,FC,HI,Public,0.19851515319408278
HR0007,University of Zagreb,Sveučilište u Zagrebu,2020,HR,Zagreb,,,,,,,61854.0,12363.0,427.0,University of Zagreb,,23.2,12.8,26.8,8.1,1.9,5.1,98.4,60.9,701-710,XL,FC,VH,Public,0.19987389659520807
IE0001,University College Dublin,University College Dublin,2020,IE,Dublin,506560000.0,82266000.0,239923000.0,184371000.0,337901000.0,,25845.0,9435.0,290.0,University College Dublin,66.0,66.5,57.6,19.7,62.0,99.5,89.6,92.2,91.7,118,L,FC,VH,Public,0.3650609402205456
IE0002,University College Cork,University College Cork,2020,IE,Cork,348171000.0,61331000.0,151242000.0,135598000.0,257553000.0,,21070.0,7655.0,180.0,University College Cork,50.7,43.4,48.1,22.5,52.7,86.2,75.0,49.5,83.8,246,L,FC,VH,Public,0.363312766967252
IE0006,Dublin City University,Dublin City University,2020,IE,Dublin,213552000.0,43449000.0,100434000.0,69669000.0,175164000.0,,15830.0,5075.0,100.0,Dublin City University,36.7,29.2,37.5,27.8,22.0,80.8,43.2,40.2,79.7,410,L,FC,HI,Public,0.3205938092229943
IE0007,University of Limerick,University of Limerick,2020,IE,Limerick,237937000.0,55588000.0,112611000.0,69738000.0,161656000.0,,15210.0,5585.0,125.0,University of Limerick,37.4,27.9,36.6,23.6,34.5,93.2,48.4,14.7,75.9,401,L,FC,HI,Public,0.36719263642340566
IT0012,University of Brescia,Università degli Studi di BRESCIA,2020,IT,Brescia,,,,,,,16036.0,2687.0,57.0,University of Brescia,26.7,7.3,4.1,8.7,85.0,2.0,8.5,11.6,63.9,650,M,FO,VH,Public,0.16756048889997505
IT0025,University of Florence,Università degli Studi di FIRENZE,2020,IT,Firenze,,,,,,,56809.0,11075.0,253.0,University of Florence,37.2,45.1,16.9,7.0,49.7,11.2,20.8,36.9,72.9,404,XL,FC,VH,Public,0.19495150416307275
IT0028,University of Genoa,Università degli Studi di GENOVA,2020,IT,Genova,,,,,,,34020.0,6352.0,308.0,University of Genoa,30.8,28.0,10.6,19.8,52.6,9.2,17.5,16.6,62.3,530,L,FC,VH,Public,0.18671369782480893
IT0030,University of Salento,Università del SALENTO,2020,IT,Lecce,,,,,,,18507.0,2809.0,81.0,University of Salento,,6.8,1.9,8.2,41.5,1.5,4.5,3.4,31.9,1001-1200,L,CO,VH,Public,0.15178040741341114
IT0033,University of Messina,Università degli Studi di MESSINA,2020,IT,Messina,,,,,,,25116.0,4240.0,53.0,University of Messina,,12.6,2.9,18.6,55.5,1.4,17.8,1.6,61.5,741-750,L,FC,VH,Public,0.168816690555821
IT0035,Politecnico di Milano,Politecnico di MILANO,2020,IT,Milano,,,,,,,49292.0,12252.0,287.0,Politecnico di Milano,69.1,83.4,90.1,9.3,53.9,74.4,69.3,72.0,72.9,98,XL,CO,VH,Public,0.2485596039925343
IT0038,University of Milan,Università degli Studi di MILANO,2020,IT,Milano,,,,,,,65216.0,12498.0,245.0,University of Milan,48.0,65.9,27.0,10.2,56.6,10.8,13.4,63.1,76.4,276,XL,FC,VH,Public,0.1916400883218842
IT0040,University of Milano-Bicocca,Università degli Studi di MILANO-BICOCCA,2020,IT,Milano,,,,,,,36124.0,8161.0,136.0,University of Milano-Bicocca,30.3,28.6,19.2,5.2,56.0,7.3,8.3,15.0,53.6,542,L,FO,VH,Public,0.22591628834016167
IT0050,University of Padova,Università degli Studi di PADOVA,2020,IT,Padua,,,,,,,67229.0,15243.0,377.0,University of Padova,52.1,73.5,40.2,13.5,54.4,15.5,18.8,29.6,85.0,233,XL,FC,VH,Public,0.226732511267459
IT0052,University of Parma,Università degli Studi di PARMA,2020,IT,Parma,,,,,,,29362.0,5790.0,132.0,University of Parma,,13.6,5.8,4.5,33.0,5.2,16.8,12.5,37.0,1001-1200,XL,FC,HI,Public,0.19719365165860636
IT0059,University of Pisa,Università di PISA,2020,IT,Pisa,,,,,,,47221.0,8843.0,198.0,University of Pisa,41.8,51.6,26.3,12.8,59.6,5.0,10.5,25.1,72.8,343,L,FC,VH,Public,0.18726837635797633
IT0068,Sapienza University of Rome,"Università degli Studi di ROMA ""La Sapienza""",2020,IT,Rome,,,,,,,110234.0,20890.0,873.0,Sapienza University of Rome,64.9,90.7,66.4,7.8,62.9,4.0,14.8,91.5,81.9,128,XL,FC,VH,Public,0.18950596004862383
IT0079,University of Siena,Università degli Studi di SIENA,2020,IT,Siena,,,,,,,17399.0,3591.0,120.0,University of Siena,28.0,21.4,7.8,15.3,60.2,4.6,19.7,12.3,63.4,607,M,FC,VH,Public,0.20639117190643141
IT0082,Politecnico di Torino,Politecnico di TORINO,2020,IT,Torino,,,,,,,33326.0,7847.0,184.0,Politecnico di Torino,51.2,50.3,64.6,4.5,68.1,7.3,57.9,37.8,73.6,242,XL,FO,VH,Public,0.2354618015963512
IT0083,University of Turin,Università degli Studi di TORINO,2020,IT,Torino,,,,,,,82040.0,16467.0,214.0,University of Turin,36.9,48.1,14.3,5.1,42.5,5.2,10.1,61.4,78.7,408,XL,FC,VH,Public,0.2007191613846904
IT0085,University of Trento,Università degli Studi di TRENTO,2020,IT,Trento,,,,,,,16692.0,3954.0,166.0,University of Trento,32.9,34.8,18.6,32.9,40.0,32.3,11.3,7.1,51.8,485,L,CO,VH,Public,0.23687994248741912
IT0087,University of Trieste,Università degli Studi di TRIESTE,2020,IT,Trieste,,,,,,,16756.0,3187.0,87.0,University of Trieste,,16.1,7.8,5.5,53.8,11.6,16.8,18.7,36.4,751-760,L,FC,VH,Public,0.19020052518500835
LT0001,Vilnius University,Vilniaus universitetas,2020,LT,Vilnius,147564330.0,43809410.0,17728190.0,83725750.0,87801980.0,85230000.0,17538.0,3519.0,114.0,Vilnius University,34.8,26.9,28.0,73.1,6.2,28.4,28.5,91.3,70.3,446,L,FC,HI,Public,0.2006500171057133
LT0002,Vilnius Gediminas Technical University,Vilniaus Gedimino technikos universitetas,2020,LT,Vilnius,,,5352100.0,18925900.0,,18330000.0,6989.0,1837.0,21.0,Vilnius Gediminas Technical University,,13.8,17.4,38.4,15.6,19.3,54.3,9.3,35.1,851-900,M,SP,VH,Public,0.2628416082415224
LT0006,Mykolas Romeris University,Mykolo Romerio universitetas,2020,LT,Vilnius,,,,,,,,,,Mykolas Romeris University,,6.0,12.9,22.7,7.1,12.1,51.6,53.2,50.4,1001-1200,S,FO,VH,Public,
