DATAFLOW,LAST UPDATE,freq,unit,isced11,iscedf13,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,European Union - 27 countries (from 2020),2017,2355223,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,European Union - 27 countries (from 2020),2018,2209514,d,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,European Union - 27 countries (from 2020),2019,2281396,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,European Union - 27 countries (from 2020),2020,2357333,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,European Union - 27 countries (from 2020),2021,2214568,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,European Union - 27 countries (from 2020),2022,2233930,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,European Union - 27 countries (from 2020),2023,2192892,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,European Union - 27 countries (from 2020),2024,2204432,d,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,European Union - 28 countries (2013-2020),2016,3120831,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,European Union - 28 countries (2013-2020),2017,3124809,,
ESTAT:EDUC_UOE_GRAD02$DEFAULTVIEW(1.0),20/05/26 23:00:00,Annual,Number,Upper secondary education - vocational,Total,Total,European Union - 28 countries (2013-2020),2018,2908310,d,
